Year	Title	Artist	Path	Rank	Genre	Wiki
1994	Because the Night	10,000 Maniacs	https://www.azlyrics.com/lyrics/10000maniacs/becausethenight.html	40	/wiki/Rock_music#/wiki/New_wave_music#/wiki/Synth-pop#/wiki/Eurodance#/wiki/Alternative_rock	/wiki/Because_the_Night
1966	A Groovy Kind of Love	The Mindbenders	https://www.azlyrics.com/lyrics/10cc/agroovykindoflove.html	20	/wiki/Soul_music#/wiki/Pop_music	/wiki/A_Groovy_Kind_of_Love
1975	I'm Not in Love	10cc	https://www.azlyrics.com/lyrics/10cc/imnotinlove.html	43	/wiki/Progressive_pop#/wiki/Art_pop#/wiki/Soft_rock#/wiki/New_wave_music#/wiki/Trip_hop	/wiki/I%27m_Not_in_Love
1999	Anywhere	112 featuring Lil Zane	https://www.azlyrics.com/lyrics/112/anywhere.html	47	/wiki/Contemporary_R%26B#/wiki/Hip_hop_soul	/wiki/Anywhere_(112_song)
1997	Cupid	112	https://www.azlyrics.com/lyrics/112/cupid.html	37	/wiki/Contemporary_R%26B	/wiki/Cupid_(112_song)
2001	It's Over Now	112	https://www.azlyrics.com/lyrics/112/itsovernow.html	68	/wiki/Contemporary_R%26B	/wiki/It%27s_Over_Now_(112_song)
2001	Peaches & Cream	112	https://www.azlyrics.com/lyrics/112/peachescream.html	20	NONE	/wiki/Peaches_%26_Cream_(112_song)
2005	U Already Know	112 featuring Foxy Brown	https://www.azlyrics.com/lyrics/112/ualreadyknow.html	97	/wiki/Contemporary_R%26B#/wiki/Hip_hop_soul	/wiki/U_Already_Know
2019	Envy Me	Calboy	https://www.azlyrics.com/lyrics/147calboy/envyme.html	59	NONE	/wiki/Envy_Me
2019	A Lot	21 Savage	https://www.azlyrics.com/lyrics/21savage/alot.html	42	/wiki/Hip_hop_music	/wiki/A_Lot_(song)
2017	Bank Account	21 Savage	https://www.azlyrics.com/lyrics/21savage/bankaccount.html	48	/wiki/Hip_hop_music#/wiki/Trap_music	/wiki/Bank_Account_(song)
2024	Redrum	21 Savage	https://www.azlyrics.com/lyrics/21savage/redrum.html	42	/wiki/Trap_music	/wiki/Redrum_(21_Savage_song)
2018	Ric Flair Drip	Offset and Metro Boomin	https://www.azlyrics.com/lyrics/21savage/ricflairdrip.html	38	/wiki/Trap_music#/wiki/Hyphy	/wiki/Ric_Flair_Drip
2020	Mood	24kGoldn featuring Iann Dior	https://www.azlyrics.com/lyrics/24kgoldn/mood.html	47	NONE	/wiki/Mood_(song)
2021	Mood	24kGoldn featuring Iann Dior	https://www.azlyrics.com/lyrics/24kgoldn/mood.html	4	NONE	/wiki/Mood_(song)
2013	I'm Different	2 Chainz	https://www.azlyrics.com/lyrics/2chainz/imdifferent.html	99	/wiki/Hardcore_hip_hop	/wiki/I%27m_Different_(2_Chainz_song)
2012	No Lie	2 Chainz featuring Drake	https://www.azlyrics.com/lyrics/2chainz/nolie.html	54	/wiki/Hip_hop_music#/wiki/Trap_music	/wiki/No_Lie_(2_Chainz_song)
1995	Dear Mama / Old School	2Pac	https://www.azlyrics.com/lyrics/2pac/dearmama.html	51	/wiki/Hip_hop_music	/wiki/Dear_Mama
1998	Do for Love	2Pac featuring Eric Williams	https://www.azlyrics.com/lyrics/2pac/doforlove.html	89	/wiki/Hip_hop_soul#/wiki/Contemporary_R%26B	/wiki/Do_for_Love
1996	How Do U Want It / California Love	2Pac featuring K-Ci and JoJo / featuring Dr. Dre and Roger Troutman	https://www.azlyrics.com/lyrics/2pac/howdoyouwantit.html	17	/wiki/Hip_hop_music#/wiki/Contemporary_R%26B	/wiki/How_Do_U_Want_It
1993	I Get Around	2Pac	https://www.azlyrics.com/lyrics/2pac/igetaround.html	56	/wiki/Hip_hop_music	/wiki/I_Get_Around_(Tupac_Shakur_song)
1994	Keep Ya Head Up	2Pac	https://www.azlyrics.com/lyrics/2pac/keepyaheadup.html	61	/wiki/Hip_hop_music#/wiki/Contemporary_R%26B	/wiki/Keep_Ya_Head_Up
2003	Thugz Mansion	2Pac	https://www.azlyrics.com/lyrics/2pac/thugzmansion.html	80	/wiki/Acoustic_hip_hop	/wiki/Thugz_Mansion
1982	Caught Up In You	.38 Special	https://www.azlyrics.com/lyrics/38special/caughtupinyou.html	53	/wiki/Southern_rock#/wiki/Hard_rock	/wiki/Caught_Up_In_You
1989	Second Chance	.38 Special	https://www.azlyrics.com/lyrics/38special/secondchance.html	63	/wiki/Soft_rock#/wiki/Adult_Contemporary	/wiki/Second_Chance_(38_Special_song)
2001	Be Like That	3 Doors Down	https://www.azlyrics.com/lyrics/3doorsdown/belikethat.html	96	NONE	/wiki/Be_Like_That_(3_Doors_Down_song)
2003	Here Without You	3 Doors Down	https://www.azlyrics.com/lyrics/3doorsdown/herewithoutyou.html	62	NONE	/wiki/Here_Without_You
2004	Here Without You	3 Doors Down	https://www.azlyrics.com/lyrics/3doorsdown/herewithoutyou.html	15	NONE	/wiki/Here_Without_You
2008	It's Not My Time	3 Doors Down	https://www.azlyrics.com/lyrics/3doorsdown/itsnotmytime.html	52	NONE	/wiki/It%27s_Not_My_Time
2000	Kryptonite	3 Doors Down	https://www.azlyrics.com/lyrics/3doorsdown/kryptonite.html	15	/wiki/Alternative_rock#/wiki/Hard_rock	/wiki/Kryptonite_(3_Doors_Down_song)
2001	Kryptonite	3 Doors Down	https://www.azlyrics.com/lyrics/3doorsdown/kryptonite.html	44	/wiki/Alternative_rock#/wiki/Hard_rock	/wiki/Kryptonite_(3_Doors_Down_song)
2005	Let Me Go	3 Doors Down	https://www.azlyrics.com/lyrics/3doorsdown/letmego.html	38	NONE	/wiki/Let_Me_Go_(3_Doors_Down_song)
2003	When I'm Gone	3 Doors Down	https://www.azlyrics.com/lyrics/3doorsdown/whenimgone.html	5	/wiki/Post-grunge#/wiki/Hard_rock	/wiki/When_I%27m_Gone_(3_Doors_Down_song)
2001	No More (Baby I'ma Do Right)	3LW	https://www.azlyrics.com/lyrics/3lw/nomorebabyimadoright.html	69	NONE	/wiki/No_More_(Baby_I%27ma_Do_Right)
2009	Don't Trust Me	3OH!3	https://www.azlyrics.com/lyrics/3oh3/donttrustme.html	30	/wiki/Electronic_rock#/wiki/Alternative_rock#/wiki/Pop_rock#/wiki/Electropop	/wiki/Don%27t_Trust_Me
2010	My First Kiss	3OH!3 featuring Kesha	https://www.azlyrics.com/lyrics/3oh3/myfirstkiss.html	73	/wiki/Dance-pop#/wiki/Electropop#/wiki/Pop-rap	/wiki/My_First_Kiss_(song)
1996	Anything	3T	https://www.azlyrics.com/lyrics/3t/anything.html	43	NONE	/wiki/Anything_(3T_song)
2024	Act II: Date @ 8	4Batz and Drake	https://www.azlyrics.com/lyrics/4batz/actiidate8remix.html	80	/wiki/Contemporary_R%26B	/wiki/Act_II:_Date_@_8
1993	What's Up?	4 Non Blondes	https://www.azlyrics.com/lyrics/4nonblondes/whatsup.html	50	/wiki/Alternative_rock#/wiki/Pop_rock#/wiki/Dance_music	/wiki/What%27s_Up%3F_(4_Non_Blondes_song)
2003	21 Questions	50 Cent featuring Nate Dogg	https://www.azlyrics.com/lyrics/50cent/21questions.html	14	/wiki/Hip_hop_music#/wiki/Contemporary_R%26B#/wiki/R%26B#/wiki/Hip_hop_music#Reggaeton	/wiki/21_Questions
2007	Ayo Technology	50 Cent featuring Justin Timberlake and Timbaland	https://www.azlyrics.com/lyrics/50cent/ayotechnology.html	87	/wiki/Dirty_rap#/wiki/Electropop	/wiki/Ayo_Technology
2005	Candy Shop	50 Cent featuring Olivia	https://www.azlyrics.com/lyrics/50cent/candyshop.html	8	/wiki/East_Coast_hip_hop#/wiki/Dirty_rap	/wiki/Candy_Shop_(50_Cent_song)
2005	Disco Inferno	50 Cent	https://www.azlyrics.com/lyrics/50cent/discoinferno.html	11	/wiki/Hip_hop_music	/wiki/Disco_Inferno_(50_Cent_song)
2003	In da Club	50 Cent	https://www.azlyrics.com/lyrics/50cent/indaclub.html	1	/wiki/East_Coast_hip_hop#/wiki/Gangsta_rap#/wiki/Hip_hop_music#/wiki/Contemporary_R%26B	/wiki/In_da_Club
2005	Just a Lil Bit	50 Cent	https://www.azlyrics.com/lyrics/50cent/justalilbit.html	17	/wiki/Dirty_rap#/wiki/G-Funk#/wiki/Gangsta_rap	/wiki/Just_a_Lil_Bit
2005	Outta Control	50 Cent featuring Mobb Deep	https://www.azlyrics.com/lyrics/50cent/outtacontrol.html	78	/wiki/Hip_hop_music	/wiki/Outta_Control_Remix
2003	P.I.M.P.	50 Cent	https://www.azlyrics.com/lyrics/50cent/pimp.html	21	/wiki/Gangsta_rap	/wiki/P.I.M.P.
2003	Wanksta	50 Cent	https://www.azlyrics.com/lyrics/50cent/wanksta.html	63	/wiki/Hip_hop_music	/wiki/Wanksta
1998	When the Lights Go Out	Five	https://www.azlyrics.com/lyrics/5ive/whenthelightsgoout.html	38	/wiki/Pop_music	/wiki/When_the_Lights_Go_Out
2014	Amnesia	5 Seconds of Summer	https://www.azlyrics.com/lyrics/5secondsofsummer/amnesia.html	86	/wiki/Pop_rock	/wiki/Amnesia_(5_Seconds_of_Summer_song)
2014	She Looks So Perfect	5 Seconds of Summer	https://www.azlyrics.com/lyrics/5secondsofsummer/shelookssoperfect.html	93	/wiki/Pop_punk#/wiki/Power_pop#/wiki/Pop_rock	/wiki/She_Looks_So_Perfect
