year	win?	artist	title	title url	alt title	alt title url	award
1965	NOM	Loretta Lynn	Wine Women And Song	https://www.azlyrics.com/lyrics/lorettalynn/winewomenandsong.html	Before I'm Over You	https://www.azlyrics.com/lyrics/lorettalynn/beforeimoveryou.html	country
1965	NOM	Connie Smith	Once A Day	https://www.azlyrics.com/lyrics/conniesmith/onceaday.html	I'm Ashamed Of You	https://www.azlyrics.com/lyrics/conniesmith/imashamedofyou.html	country
1965	WIN	Roger Miller	Dang Me	https://www.azlyrics.com/lyrics/rogermiller/dangme.html	If You Want Me To	https://www.azlyrics.com/lyrics/rogermiller/ifyouwantmeto.html	country
1966	WIN	Roger Miller	King Of The Road	https://www.azlyrics.com/lyrics/rogermiller/kingoftheroad.html	Ain't That Fine	https://www.azlyrics.com/lyrics/rogermiller/aintthatfine.html	country
1966	NOM	Charley Pride	Day The World Stood Still	https://www.azlyrics.com/lyrics/charleypride/daytheworldstoodstill.html	Does Your Ring Hurt My Finger	https://www.azlyrics.com/lyrics/charleypride/doesmyringhurtyourfinger.html	country
1966	NOM	Eddy Arnold	What's He Doin' In My World	https://www.azlyrics.com/lyrics/eddyarnold/whatshedoininmyworld.html	If You Were Mine Mary	https://www.azlyrics.com/lyrics/eddyarnold/ifyouwereminemary.html	country
1966	NOM	The Statler Brothers	Flowers On The Wall	https://www.azlyrics.com/lyrics/statlerbrothers/flowersonthewall.html	My Reward	https://www.azlyrics.com/lyrics/statlerbrothers/myreward.html	country
1967	NOM	Bobby Bare	Streets Of Baltimore	https://www.azlyrics.com/lyrics/bobbybare/streetsofbaltimore.html	Houston	https://www.azlyrics.com/lyrics/bobbybare/houston.html	country
1967	NOM	Roger Miller	Husbands And Wives	https://www.azlyrics.com/lyrics/rogermiller/husbandsandwives.html	I've Been A Long Time Leavin'	https://www.azlyrics.com/lyrics/rogermiller/ivebeenalongtimeleavin.html	country
1968	WIN	Glen Campbell	Gentle On My Mind	https://www.azlyrics.com/lyrics/glencampbell/gentleonmymind.html	Bowling Green	https://www.azlyrics.com/lyrics/glencampbell/bowlinggreen.html	country
1968	NOM	Charley Pride	Does My Ring Hurt Your Finger	https://www.azlyrics.com/lyrics/charleypride/doesmyringhurtyourfinger.html	I'll Wander Back To You	https://www.azlyrics.com/lyrics/charleypride/illwanderbacktoyou.html	country
1968	NOM	Porter Wagoner	The Cold Hard Facts Of Life	https://www.azlyrics.com/lyrics/porterwagoner/thecoldhardfactsoflife.html	Try Being Lonely	https://www.azlyrics.com/lyrics/porterwagoner/trybeinglonely.html	country
1969	NOM	Tammy Wynette	D-I-V-O-R-C-E	https://www.azlyrics.com/lyrics/tammywynette/divorce.html	All Night Long	https://www.azlyrics.com/lyrics/tammywynette/allnightlong.html	country
1969	WIN	Roger Miller	Little Green Apples	https://www.azlyrics.com/lyrics/rogermiller/littlegreenapples.html	Gentle On My Mind	https://www.azlyrics.com/lyrics/rogermiller/gentleonmymind.html	country
1969	NOM	Bobby Goldsboro	Honey	https://www.azlyrics.com/lyrics/bobbygoldsboro/honey.html	Pledge Of Love	https://www.azlyrics.com/lyrics/bobbygoldsboro/pledgeoflove.html	country
1970	NOM	Marty Robbins	You Gave Me a Mountain	https://www.azlyrics.com/lyrics/martyrobbins/yougavemeamountain.html	If I Want To	https://www.azlyrics.com/lyrics/martyrobbins/ifiwantto.html	country
1970	NOM	Tammy Wynette	Stand by Your Man	https://www.azlyrics.com/lyrics/tammywynette/standbyyourman.html	It Keeps Slipping My Mind	https://www.azlyrics.com/lyrics/tammywynette/itkeepsslippingmymind.html	country
1970	WIN	Johnny Cash	A Boy Named Sue	https://www.azlyrics.com/lyrics/johnnycash/aboynamedsue.html	San Quentin	https://www.azlyrics.com/lyrics/johnnycash/sanquentin.html	country
1970	NOM	Charley Pride	All I Have To Offer You is Me	None	None	None	country
1970	NOM	Van Trevor	The Things That Matter	None	None	None	country
1971	NOM	Charley Pride	Wonder Could I Live There Anymore	https://www.azlyrics.com/lyrics/charleypride/wondercouldilivethereanymore.html	Fifteen Years Ago	https://www.azlyrics.com/lyrics/charleypride/fifteenyearsago.html	country
1971	NOM	Charley Pride	Is Anybody Goin' to San Antone	https://www.azlyrics.com/lyrics/charleypride/isanybodygoingtosanantone.html	I Think I'll Take A Walk	https://www.azlyrics.com/lyrics/charleypride/ithinkilltakeawalk.html	country
1971	NOM	Conway Twitty	Hello Darlin'	https://www.azlyrics.com/lyrics/conwaytwitty/hellodarlin.html	Rose	https://www.azlyrics.com/lyrics/conwaytwitty/rose.html	country
1971	WIN	Marty Robbins	My Woman, My Woman, My Wife	https://www.azlyrics.com/lyrics/martyrobbins/mywomanmywomanmywife.html	The Master's Touch	https://www.azlyrics.com/lyrics/martyrobbins/themasterstouch.html	country
